Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-07-08,96.49,96.89,96.05,96.68,28912103.0,0.0,1.0,90.73771648767416,91.11387035434501,90.32394723433625,90.91638957434283,28912103.0
2016-07-07,95.7,96.5,95.62,95.94,25139558.0,0.0,1.0,89.99481260099925,90.74712033434093,89.91958182766508,90.22050492100176,25139558.0
2016-07-06,94.6,95.66,94.37,95.53,30949090.0,0.0,1.0,88.96038946765442,89.95719721433217,88.7441009943187,89.83494720766414,30949090.0
2016-07-05,95.39,95.4,94.46,94.99,27705210.0,0.0,1.0,89.70329335432935,89.71269720099613,88.82873561431963,89.3271394876585,27705210.0
2016-07-01,95.49,96.465,95.33,95.89,26026540.0,0.0,1.0,89.79733182099706,90.71420687100725,89.64687027432872,90.1734856876679,26026540.0
2016-06-30,94.44,95.77,94.3,95.6,35836356.0,0.0,1.0,88.8099279209861,90.06063952766665,88.6782740676513,89.90077413433154,35836356.0
2016-06-29,93.97,94.55,93.63,94.4,36531006.0,0.0,1.0,88.36794712764785,88.91337023432058,88.04821634097763,88.77231253431901,36531006.0
2016-06-28,92.9,93.66,92.14,93.59,40444914.0,0.0,1.0,87.36173553430335,88.07642788097795,86.64704318762875,88.01060095431056,40444914.0
2016-06-27,93.0,93.05,91.5,92.04,46622188.0,0.0,1.0,87.45577400097106,87.50279323430492,86.0451970009554,86.55300472096104,46622188.0
2016-06-24,92.91,94.655,92.65,93.4,75311356.0,0.0,1.0,87.37113938097012,89.01211062432168,87.12663936763408,87.83192786764191,75311356.0
2016-06-23,95.94,96.29,95.25,96.1,32240187.0,0.0,1.0,90.22050492100176,90.54963955433875,89.57163950099455,90.37096646767009,32240187.0
2016-06-22,96.25,96.89,95.35,95.55,29219122.0,0.0,1.0,90.51202416767167,91.11387035434501,89.66567796766226,89.85375490099769,29219122.0
2016-06-21,94.94,96.35,94.676,95.91,35546358.0,0.0,1.0,89.28012025432464,90.60606263433937,89.0318587023219,90.19229338100145,35546358.0
2016-06-20,96.0,96.57,95.03,95.1,34411901.0,0.0,1.0,90.27692800100239,90.81294726100833,89.3647548743256,89.43058180099298,34411901.0
2016-06-17,96.62,96.65,95.3,95.33,61008219.0,0.0,1.0,90.8599664943422,90.88817803434252,89.6186587343284,89.64687027432872,61008219.0
2016-06-16,96.45,97.75,96.07,97.55,31326815.0,0.0,1.0,90.70010110100709,91.92260116768732,90.34275492766977,91.7345242343519,31326815.0
2016-06-15,97.82,98.41,97.03,97.14,29445227.0,0.0,1.0,91.98842809435472,92.54325504769422,91.24552420767981,91.34896652101429,29445227.0
2016-06-14,97.32,98.475,96.75,97.46,31931944.0,0.0,1.0,91.51823576101616,92.60438005102823,90.98221650101021,91.64988961435095,31931944.0
2016-06-13,98.69,99.12,97.1,97.34,38020494.0,0.0,1.0,92.80656275436381,93.21092816103497,91.3113511343472,91.53704345434971,38020494.0
2016-06-10,98.53,99.3457,98.48,98.83,31712936.0,0.0,1.0,92.65610120769547,93.42317298030397,92.60908197436162,92.9382166076986,31712936.0
2016-06-09,98.5,99.99,98.46,99.65,26601354.0,0.0,1.0,92.62788966769516,94.02906282104404,92.59027428102807,93.70933203437383,26601354.0
2016-06-08,99.02,99.56,98.68,98.94,20848131.0,0.0,1.0,93.11688969436725,93.62469741437289,92.79715890769704,93.04165892103308,20848131.0
2016-06-07,99.25,99.87,98.96,99.03,22409450.0,0.0,1.0,93.33317816770298,93.9162166610428,93.06046661436662,93.12629354103403,22409450.0
2016-06-06,97.99,101.89,97.55,98.63,23292504.0,0.0,1.0,92.14829348768983,95.81579368773055,91.7345242343519,92.75013967436317,23292504.0
2016-06-03,97.79,98.27,97.45,97.92,28504888.0,0.0,1.0,91.96021655435442,92.41160119435942,91.6404857676842,92.08246656102243,28504888.0
2016-06-02,97.6,97.84,96.63,97.72,40191600.0,0.0,1.0,91.78154346768575,92.00723578768827,90.86937034100896,91.894389627687,40191600.0
2016-06-01,99.02,99.54,98.33,98.46,29173285.0,0.0,1.0,93.11688969436725,93.60588972103936,92.46802427436005,92.59027428102807,29173285.0
2016-05-31,99.6,100.4,98.82,99.86,42307212.0,0.0,1.0,93.66231280103997,94.41462053438167,92.92881276103182,93.90681281437602,42307212.0
2016-05-27,99.44,100.47,99.245,100.35,36341240.0,0.0,1.0,93.51185125437163,94.48044746104905,93.32847624436961,94.3676013010478,36341240.0
2016-05-26,99.68,100.73,98.64,100.41,56331159.0,0.0,1.0,93.73754357437414,94.72494747438512,92.75954352102995,94.42402438104843,56331159.0
2016-05-25,98.67,99.74,98.11,99.62,38642108.0,0.0,1.0,92.78775506103027,93.79396665437477,92.26113964769108,93.68112049437352,38642108.0
2016-05-24,97.22,98.09,96.84,97.9,35140174.0,0.0,1.0,91.42419729434846,92.24233195435754,91.06685112101115,92.0636588676889,35140174.0
2016-05-23,95.87,97.19,95.67,96.43,38018643.0,0.0,1.0,90.15467799433436,91.39598575434815,89.96660106099894,90.68129340767355,38018643.0
2016-05-20,94.64,95.43,94.52,95.22,32025968.0,0.0,1.0,88.99800485432152,89.74090874099645,88.88515869432027,89.54342796099424,32025968.0
2016-05-19,94.64,94.64,93.57,94.2,30442100.0,0.0,1.0,88.99800485432152,88.99800485432152,87.991793260977,88.58423560098359,30442100.0
2016-05-18,94.16,95.21,93.89,94.56,42062391.0,0.0,1.0,88.5466202143165,89.53402411432747,88.29271635431368,88.92277408098735,42062391.0
2016-05-17,94.55,94.7,93.01,93.49,46916939.0,0.0,1.0,88.91337023432058,89.05442793432215,87.46517784763783,87.91656248764284,46916939.0
2016-05-16,92.39,94.39,91.65,93.88,61259756.0,0.0,1.0,86.88213935429802,88.76290868765224,86.18625470095697,88.28331250764691,61259756.0
2016-05-13,90.0,91.67,90.0,90.52,44392765.0,0.0,1.0,84.63462000093973,86.20506239429051,84.63462000093973,85.12362002761184,44392765.0
2016-05-12,92.72,92.78,89.47,90.34,76314690.0,0.0,1.0,87.19246629430147,87.2488893743021,84.13621612760087,84.95435078760995,76314690.0
2016-05-11,93.48,93.57,92.46,92.51,28719109.0,0.0,1.0,87.90715864097608,87.991793260977,86.94796628096542,86.99498551429929,28719109.0
2016-05-10,93.33,93.57,92.11,93.42,33686836.0,0.0,1.0,87.76610094097451,87.991793260977,86.61883164762844,87.85073556097545,33686836.0
2016-05-09,93.0,93.77,92.59,92.79,32936436.0,0.0,1.0,87.45577400097106,88.17987019431243,87.07021628763346,87.25829322096888,32936436.0
2016-05-06,93.37,93.45,91.85,92.72,43699886.0,0.0,1.0,87.8037163276416,87.87894710097576,86.37433163429237,87.19246629430147,43699886.0
2016-05-05,94.0,94.07,92.68,93.24,35890500.0,0.57,1.0,88.39615866764817,88.46198559431556,87.1548509076344,87.68146632097356,35890500.0
2016-05-04,95.2,95.9,93.82,94.19,41025475.0,0.0,1.0,88.98065871182907,89.63492826118075,87.69081302882145,88.03664121919306,41025475.0
2016-05-03,94.2,95.74,93.68,95.18,56831277.0,0.0,1.0,88.04598792704094,89.48538093561464,87.55995911895113,88.9619652961333,56831277.0
2016-05-02,93.965,94.08,92.4,93.64,48160104.0,0.0,1.0,87.82634029261574,87.93382743286637,86.36358051442232,87.5225722875596,48160104.0
2016-04-29,93.99,94.72,92.51,93.74,68531478.0,0.0,1.0,87.84970706223542,88.53201673513077,86.46639430074902,87.6160393660384,68531478.0
2016-04-28,97.61,97.88,94.25,94.83,82242690.0,0.0,1.0,91.23321530316844,91.48557641506122,88.09272146628035,88.63483052145746,82242690.0
2016-04-27,96.0,98.71,95.68,97.82,114602142.0,0.0,1.0,89.72839533965956,92.26135316643536,89.42930068852736,91.42949616797392,114602142.0
2016-04-26,103.91,105.3,103.91,104.35,56016165.0,0.0,1.0,97.12164124733359,98.42083363818908,97.12164124733359,97.53289639264035,56016165.0
2016-04-25,105.0,105.65,104.51,105.08,28031588.0,0.0,1.0,98.14043240275264,98.74796841286492,97.68244371820647,98.21520606553568,28031588.0
2016-04-22,105.01,106.48,104.62,105.68,33683121.0,0.0,1.0,98.14977911060052,99.52374516423906,97.78525750453316,98.77600853640857,33683121.0
